Date,INTU,VMW,CA,CRM,ADBE,ADSK,PYPL,TWTR,NVDA,RHT,BABA,INFY,AKAM,FB,CTSH,MSFT,SAP,YHOO,EBAY,NTES,BIDU,CHKP,GOOGL
2015-03-02,94.75904799999999,82.010002,30.469734000000003,66.809998,73.940002,58.639998999999996,,50.080002,20.445202,75.75,83.239998,16.770232999999998,71.050003,82.220001,62.389998999999996,38.565643,69.865433,44.439999,24.276094,102.60733,,81.970001,554.700012
2015-04-01,98.305008,88.099998,29.684864,72.82,76.059998,56.830002,,38.959998999999996,21.685785,75.260002,81.290001,14.8102,73.779999,78.769997,58.540001000000004,46.134602,73.273041,42.57,24.520203,124.912003,,83.480003,548.77002
2015-05-01,102.047905,87.32,28.680357,72.75,79.089996,54.150002,,36.669998,21.717468,77.269997,89.32,15.235671,76.269997,79.190002,64.720001,44.735141999999996,72.66377299999999,42.939999,25.824915,138.154434,,84.720001,545.320007
2015-06-01,98.736122,85.739998,27.587771999999998,69.629997,81.010002,50.080002,,36.220001,19.735125,75.93,82.269997,15.377894,69.82,85.769997,61.09,42.148026,69.05516800000001,39.290001000000004,25.353535,141.53476,,79.550003,540.039978
2015-07-01,103.885948,89.129997,27.446487,73.300003,81.989998,50.580002,,31.01,19.578108,79.08000200000001,78.339996,16.406321,76.709999,94.010002,63.099998,44.582397,70.47107700000001,36.669998,28.120001000000002,135.438431,,80.769997,657.5
2015-07-06,,,,,,,38.700001,,,,,,,,,,,,,,,,
2015-08-03,84.222557,79.150002,25.949085,69.360001,78.57,46.75,35.0,27.790001,22.153765,72.209999,66.120003,16.639172,71.309998,89.43,62.939999,41.820564000000005,66.13485,32.240002000000004,27.110001,109.046806,,78.010002,647.820007
2015-09-01,87.16912099999999,78.790001,25.958591000000002,69.43,82.220001,44.139998999999996,31.040001,26.940001000000002,24.292273,71.879997,58.970001,18.521387,69.059998,89.900002,62.610001000000004,42.531665999999994,63.706168999999996,28.91,24.440001000000002,117.81527700000001,,79.33000200000001,638.369995
2015-10-01,96.011696,60.150002,26.348446000000003,77.709999,88.660004,55.189999,36.009997999999996,28.459999,27.958288,79.110001,83.83000200000001,17.777451,60.82,101.970001,68.110001,50.584435,77.393303,35.619999,27.9,141.756927,,84.940002,737.3900150000001
2015-11-02,98.741364,61.41,26.979815000000002,79.690002,91.459999,63.470001,35.259997999999996,25.4,31.378372,81.410004,84.08000200000001,16.328629,57.610001000000004,104.239998,64.58000200000001,52.579689,77.678459,33.810001,29.59,164.01944,,87.290001,762.849976
2015-12-01,95.09523,56.57,27.411720000000003,78.400002,93.940002,60.93,36.200001,23.139999,32.605019,82.809998,81.269997,16.397154,52.630001,104.660004,60.02,53.672881999999994,77.776779,33.259997999999996,27.48,178.368423,,81.379997,778.01001
2016-01-04,94.413803,45.75,27.574886,68.059998,89.129997,46.82,36.139998999999996,16.799999,28.974545000000003,70.050003,67.029999,17.532717,45.619999,112.209999,63.310001,53.295586,78.46508,29.51,23.459999,153.666107,,78.809998,761.349976
2016-02-01,95.53083000000001,50.490002000000004,28.368403999999998,67.75,85.150002,51.740002000000004,38.139998999999996,18.120001000000002,31.135272999999998,65.349998,68.809998,16.465679,53.970001,106.91999799999999,56.98,49.57613,74.07968100000001,31.790001,23.799999,132.477234,,83.07,717.219971
2016-03-01,102.81624599999999,52.310001,29.821209000000003,73.83000200000001,93.800003,58.310001,38.599998,16.549999,35.374672,74.510002,79.029999,18.619335,55.57,114.099998,62.700001,53.814655,79.074699,36.810001,23.860001,141.965027,,87.470001,762.900024
